full_name,repo_name,url,stars_count,releases_count,repo_age_years
Snailclimb/JavaGuide,JavaGuide,https://github.com/Snailclimb/JavaGuide,151496,0,7.32
krahets/hello-algo,hello-algo,https://github.com/krahets/hello-algo,115961,9,2.82
GrowingGit/GitHub-Chinese-Top-Charts,GitHub-Chinese-Top-Charts,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts,101735,0,5.99
iluwatar/java-design-patterns,java-design-patterns,https://github.com/iluwatar/java-design-patterns,92601,0,11.06
macrozheng/mall,mall,https://github.com/macrozheng/mall,81435,3,7.41
spring-projects/spring-boot,spring-boot,https://github.com/spring-projects/spring-boot,78268,320,12.87
doocs/advanced-java,advanced-java,https://github.com/doocs/advanced-java,78179,1,6.9
MisterBooo/LeetCodeAnimation,LeetCodeAnimation,https://github.com/MisterBooo/LeetCodeAnimation,76430,0,6.74
elastic/elasticsearch,elasticsearch,https://github.com/elastic/elasticsearch,73679,206,15.56
Stirling-Tools/Stirling-PDF,Stirling-PDF,https://github.com/Stirling-Tools/Stirling-PDF,64842,135,2.59
